id,category,utility,substation,date_created,order_number,fat_date,landing,status,progress,lead,description,comments,milestones
8,Pumping,ATC,De Pere & Red Maple,1/29/2025,170120,7/10/2025,Mar/Apr 2026,Active,75,TBD,"2-Cylinder HPGF Cabinets, Aluminum; pressure switches, gauges, transmitters, light, Ext J-box, rectifier monitoring","- All Dwgs approved (Elect. & Mech.) - Factory FATs complete - 3/30/26 Red Maple delivery (1 Wk Install.) - 4/6/26 De Pere delivery (1 Wk Install.)","{""fab"":true,""fat"":true,""mat"":true,""ship"":false,""design"":true}"
9,Pumping,FP&L,Latin Quarter,4/22/2025,171104,12/19/2025,Jan. 2026,Critical,80,Orion,"15K Gallon tank, 3 stand up ladders, gas pump, moat, PLC control, hurricane enclosure & door; FP&L to supply generator & ATS, 7,500 gallons of new oil; New Leistritz pumps to be used","- Cimplicity key not ordered? - Load 1/5; Land 1/12/26 (Add'l charge for weekend layover) - Adder for complex rigging on-site - Problem with Orion reed switches","{""fab"":true,""fat"":true,""mat"":true,""ship"":false,""design"":true}"
11,Pumping,XCEL ENERGY,Elliot Park PP,5/21/2025,171338,4/8/2026,4/15/2026,Critical,45,TBD,"2 ladder dual skid, PLC control, gas pump, 3 outlet manifold, tank sfty assy, tank N2 supply system, 2 Orion LL gauges; Very similar to 5th St. skid; 2 portable cubes needed for install.","- Mechanical & Electrical dwgs approved - Elect. Submittal sent; Now 1 phase power - Released Gen. BOM 9/24/25 - 3G pump approved; Expected 11/21 - Skid piping final assy released - CP Final Assy released","{""fab"":false,""fat"":false,""mat"":true,""ship"":false,""design"":true}"
12,Pumping,XCEL ENERGY,Elliot Park HX,6/6/2025,171492,5/13/2026,10/7/2026,Active,10,TBD,"HX plant; 1MBtu/hr, (2) 150 GPM pumps, (2) 10 GPM pumps, PLC Controls, VFDs; - No IIBC required per customer","- Mech dwgs submitted; Comments received; Mechanical resubmittal sent 8/26 - Elect. Dwgs submitted; Comments received - Steel beams pre-released for sand blasting - Pumps/motors released (Leistritz) - Release other long lead time components - Customer wants 2nd personnel door (adder)","{""fab"":false,""fat"":false,""mat"":false,""ship"":false,""design"":true}"
13,Pumping,XCEL ENERGY,Soncy PP,7/1/2025,171715,9/16/2026,Sept. 2026,Active,15,TBD,"1 full PP w/4K gallon tank w/1 partition, static (no circ.), moat walls, 210H pumps, flow limiters, gas pump, 3 phase 120/208, AC Disc. Sw. w/Manual throwover for generator, GE RX3i PLC control, HMI, annunciator, DNP3 serial over MM fiber, LWS, 2 LLGs, 2 Cyl SS N2 Cabinet & 6 Cyl SS N2 Cab.; Fire Vapor Sfty RV; Jacking lugs needed","- Mech. submittal Dwgs sent 8/27/25 - Need Elect. submittal dwgs - Release long lead time material - Received comments from Powers; Elect. & Mechanical dwgs approved","{""fab"":false,""fat"":false,""mat"":true,""ship"":false,""design"":true}"
14,Pumping,XCEL ENERGY,Lawrence Park PP,7/9/2025,171740,9/17/2026,3/1/2027,Active,5,TBD,"1 full PP w/4K gallon tank w/1 partition, static (no circulation), moat walls, 210H pumps, flow limiters, gas pump, 3 phase 120/208, AC Disc. Sw. w/Manual throwover for generator, GE RX3i PLC control, HMI, annunciator, DNP3 serial over MM fiber, LWS, 2 LLGs, 2 Cyl SS N2 Cabinet & 6 Cyl SS N2 Cab.; Fire Vapor Sfty RV; Portable Trailer needed 12/4/26; Jacking lugs needed","- Mech submittal Dwgs sent 8/27/25 - Need Elect. submittal dwgs - Release long lead time material - Received comments from Powers; Mechanical dwgs approved) - Submit Elect. Dwgs Jan. 2026","{""fab"":false,""fat"":false,""mat"":false,""ship"":false,""design"":false}"
15,Pumping,Xcel Energy,Guthrie,7/14/2025,171759,10/21/2025,11/14/2025,Critical,50,TBD,"Communication Cabinet w/ external disc. Switch, SEL I/O module, fiber panel, relays, DC PS, heater XO Cabinet w/ I/O module, fiber panel, relays, DC PS, Selector Sw/Lts, heater, valve actuator","- Submittal Dwgs sent 8/18/25: All approved - Higher priority over Soncy & Lawrence Park - XO Cabinet design can be released later - Add insulation to XO Cabinet - Enclosure door cutout for Comm Cab. released - MAC to mount and wire pressure switches","{""fab"":true,""fat"":true,""mat"":true,""ship"":false,""design"":true}"
16,Pumping,Com Ed,"Taylor, Garfield",12/8/2025,173021,Various,Apr/May 2027,Critical,0,TBD,"4 ACOP (Heat Exchanger) plants - Taylor & Garfield: April 2027 Commiss - 26th & Federal (1&2): May 2027 Commiss","- Submit IMO pumps / motors for approval - Customer to decide if Control house & cooler are split (separate base skids)","{""fab"":false,""fat"":false,""mat"":false,""ship"":false,""design"":false}"
18,Field Service,Con Edison,Corona,3/21/2025,170773,N/A,03/21/25,Critical,0,Field Tech,Replace vibration transducer,- Scheduled for 9/29,"{""fab"":false,""fat"":false,""mat"":false,""ship"":false,""design"":false}"
19,Field Service,Com Ed,Taylor,8/5/2025,171911,N/A,Dec. 2025,Active,20,Field Tech,"Replace 3 N2 manifolds mounted to wall, replace copper tubing with SS",- BOM released (working on dwg),"{""fab"":false,""fat"":false,""mat"":false,""ship"":false,""design"":true}"
